Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Final_Project\H18R2x-Hardware\Design\Project Outputs for H18R2PrjPcb\Pick Place for H18R2.csv

========================================================================================================================
File Design Information:

Date:       26/11/25
Time:       17:57
Revision:   5b334baecc48dbc99a92b0a34da5ac6deeaf00a1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J2","282837-2","TopLayer","282837-2_TYC","0.0000","10.6680","180","TERMI-BLOK PCB MOUNT 2P"
"J3","282837-2","TopLayer","282837-2_TYC","0.0000","-10.6680","180","TERMI-BLOK PCB MOUNT 2P"
"U2","MAX14870ETC+T","TopLayer","21-0664B_MXM","9.6520","1.0160","0","Compact 4.5V to 36V Full-Bridge DC Motor Drivers"
"R5","10k","TopLayer","FP-SG73P1J-MFG","10.4020","-3.5560","180","SG73P1JTTD1002F Res Thick Film 0603 10K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"
"R4","10k","TopLayer","FP-SG73P1J-MFG","9.6520","-1.7900","270","SG73P1JTTD1002F Res Thick Film 0603 10K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"
"C6","1u","TopLayer","FP-0603-L_1_6_0_15-W_0_8-IPC_C","13.2080","0.6022","270","Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603"
"X1","CSTCE8M00G52Z-R0","BottomLayer","XTALL_CSTCE8M00G52","6.0960","-1.0160","0","Ceramic Resonator 8MHz ±0.5% (Tol) ±0.2% (Stability) 10pF 40Ohm 3-Pin CSMD T/R"
"U1","STM32G0B1CEU6","BottomLayer","QFN50P700X700X65-49N-D","-0.4020","-0.2580","180","MCU 32-bit ARM Cortex M0+ RISC 512KB Flash 1.8V/2.5V/3.3V 48-Pin UFQFPN EP Tray"
"R3","Manufacturer Part Number","BottomLayer","R0603","7.1120","10.6680","270",""
"R1","Manufacturer Part Number","TopLayer","R0603","2.5400","0.5080","270","Res Thick Film 0603 270 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R"
"R2","Manufacturer Part Number","BottomLayer","R0603","-5.0800","3.1650","90","100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"LED1","VLMS1300-GS08","TopLayer","FP-6_541-5092_01-4-MFG","0.0000","0.0000","180","LED Uni-Color Super Red 639nm 2-Pin Chip 0603(1608Metric) T/R"
"J1","TSW-103-14-G-S","TopLayer","FP-TSW-103-14-G-S-MFG","-9.6520","0.0000","270","CONN HEADER VERT 3POS 2.54MM"
"FB1","MMZ1608Y300B","BottomLayer","FP-MMZ1608-0_8-MFG","5.0800","10.6680","270","Ferrite Beads 0603 30ohms 1500mA Signal Line AEC-Q200"
"D1","CDSOD323-T03SC","BottomLayer","SOD2513X114N","6.0960","12.7000","180","A 3V, 350W, bi-directional, standard capacitance, SOD323 pkg TVS Diode"
"C4","CC0805KKX7R7BB105","BottomLayer","C0805","6.2312","8.3587","180","Ceramic Capacitor, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0805"
"C3","CL10B104KA8NNNC","BottomLayer","C0603","5.8804","4.2680","180","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"C2","CL21X475KAQNNNE","BottomLayer","C0805","6.0960","6.0960","0","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X6S, +-22% TC, 4.7uF, Surface Mount, 0805 inch"
"C5","CL10B104KA8NNNC","TopLayer","C0603","2.3480","-2.0080","0","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"C1","CL10B104KA8NNNC","BottomLayer","C0603","5.7800","2.5400","180","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"VDD6","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-8.2601","14.3101","120",""
"VDD5","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-16.5199","0.0000","180",""
"VDD4","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-8.2601","-14.3101","240",""
"VDD3","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","8.2601","-14.3101","300",""
